Number;Label;"Weighted All Degree of N1 (616)";"All closeness centrality in N1 (616)";"Betweenness centrality in N1 (616)";"Clustering Coefficients CC1 in N1 (616)";"Clustering Coefficients CC1' in N1 (616)";"Distribution of Distances in N1 (20)";"Centers in N1 [w,w] (616)"
1;02;2;0,227728946;0,004022193;0;0;1122;0
2;1;7;0,262338830;0,007277347;0;0;5073;0
3;10;2;0,197375358;0,003015328;0;0;17654;0
4;100,00;1;0,170996940;0;999999998;999999998;39032;0
5;1000;1;0,184691851;0;999999998;999999998;54201;0
6;10h;2;0,224746363;0,004206721;0;0;52017;0
7;12;2;0,172360874;0,003990890;0;0;38528;2
8;16;3;0,235924609;0,002109482;0;0;23901;0
9;16,00;2;0,240396192;0,001167518;0;0;13626;0
10;16/pessoa/dia;2;0,226403399;8,2970896E-4;0,500000000;0,018867925;7867;0
11;16:00h;0;0;0;999999998;999999998;4730;1
12;1a;2;0,244834897;9,3432042E-4;0;0;2869;0
13;1h;2;0,214974782;9,0943751E-5;0;0;1500;0
14;2;7;0,258962077;0,004626630;0,200000000;0,018867925;661;0
15;2012;2;0,159192785;0;999999998;999999998;266;0
16;2013;2;0,238724042;0,002169048;0;0;103;0
17;23h;2;0,185868607;0,005160086;0;0;48;0
18;24;3;0,224486941;0,002674298;0;0;21;0
19;24h;1;0,172615846;0;999999998;999999998;8;0
20;279;2;0,200702290;4,0356622E-4;0;0;2;0
21;28/12;1;0,226315577;0;999999998;999999998;;0
22;3;8;0,257590092;0,005594113;0,033333333;0,003773585;;0
23;3,00;1;0,252353615;0;999999998;999999998;;0
24;30;2;0,253780582;0,001547573;0;0;;0
25;30,00;2;0,161573403;0,003884961;0;0;;2
26;300;2;0,202443289;4,3902430E-4;0;0;;0
27;32;1;0,150410301;0;999999998;999999998;;0
28;4;4;0,226843530;0,003118388;0;0;;0
29;5;2;0,238821759;4,0700510E-4;0;0;;0
30;50;2;0,210704788;0,001471183;0;0;;0
31;6h;2;0,187541485;0,004159901;0;0;;2
32;80;2;0,119803195;0,002875983;0;0;;2
33;blank>;1;0,003246753;0;999999998;999999998;;1
34;abastecer;2;0,253229843;0,004346397;0;0;;0
35;abastecido;2;0,207335309;0;999999998;999999998;;0
36;accor;4;0,253010216;0,005099747;0,083333333;0,006289308;;0
37;aceitar;1;0,145714675;0;999999998;999999998;;0
38;aceso;1;0,246074044;0;999999998;999999998;;0
39;acessivel;2;0,237654403;4,6335489E-4;0;0;;0
40;achar;10;0,286562651;0,017018738;0,044444444;0,008385744;;0
41;acolher;2;0,194675195;7,6324621E-5;0;0;;0
42;acomodação;3;0,258045802;0,003761099;0;0;;0
43;acústico;2;0,181362001;0,002777998;0;0;;2
44;adorar;2;0,106740131;0;0;0;;0
45;afinal;1;0,222178811;0;999999998;999999998;;0
46;agradecer;2;0,226579246;8,2335255E-4;0;0;;0
47;ah;0;0;0;999999998;999999998;;1
48;ainda;6;0,255447267;0,005131907;0;0;;0
49;alar;1;0,252353615;0;999999998;999999998;;0
50;algum;7;0,256345149;0,003042779;0,023809524;0,003144654;;0
51;alteração;2;0,136925970;0,002865390;0;0;;2
52;alternativo;1;0,214895602;0;999999998;999999998;;0
53;alto;12;0,259077069;0,017534781;0;0;;0
54;altura;4;0,232817861;0,008564392;0;0;;0
55;além;1;0,171600458;0;999999998;999999998;;0
56;amir;1;0,171348475;0;999999998;999999998;;0
57;amor;2;0,243913695;0,002208949;0;0;;0
58;amplo;2;0,219834800;0,003849210;0;0;;0
59;ansioso;2;0,246074044;0;999999998;999999998;;0
60;aparentemente;2;0,205509531;0,001419418;0;0;;0
61;apartamento;2;0,224486941;6,8329707E-4;0;0;;0
62;apenas;13;0,265562840;0,015654335;0,022222222;0,004192872;;0
63;apesar;3;0,258847187;0;0;0;;0
64;apreciar;2;0,226403399;4,6705638E-4;0;0;;0
65;aproveitar;2;0,222348155;0,002571436;0;0;;0
66;após;4;0,228531750;0,010518789;0;0;;0
67;aqui;1;0,003246753;0;999999998;999999998;;1
68;arco;2;0,184167159;0,001292339;0;0;;0
69;arcoverde;13;0,261985433;0,016387734;0,083333333;0,014150943;;0
70;areia;2;0,239311550;0,002919572;0;0;;0
71;armazenagem;1;0,003246753;0;999999998;999999998;;1
72;arriscar;1;0,136159057;0;999999998;999999998;;0
73;assunto;2;0,153456486;0,001435343;0;0;;3
74;atar;2;0,194221557;0,003853182;0;0;;0
75;atencioso;7;0,228442270;0,007496318;0,047619048;0,006289308;;0
76;atencão;2;0,167896851;0,001300283;0;0;;0
77;atender;6;0,242595243;0,007325686;0;0;;0
78;atendido;1;0,185987108;0;999999998;999999998;;0
79;atendimento;19;0,280500749;0,048807469;0,003676471;0,001179245;;0
80;atlantica;2;0,188571932;0,007150234;0;0;;0
81;atro;4;0,242898234;0,001086232;0,500000000;0,018867925;;0
82;atrás;2;0,235163869;0;0,500000000;0,018867925;;0
83;ausência;1;0,185987108;0;999999998;999999998;;0
84;autocolante;1;0,106955373;0;999999998;999999998;;0
85;av;2;0,158371759;0,005730780;0;0;;2
86;avaliar;4;0,227640093;0,003192594;0;0;;0
87;avaliação;2;0,252244513;8,4489928E-4;0;0;;0
