Foram extraídas 200 proto-frases.
109 proto-frases distintas, sendo:

29 vezes (14.5 %): cafe manha atar 12 hs mto 
9 vezes (4.5 %): cafe manhã espartano 
6 vezes (3.0 %): cafe manha incluso diaria conta outro 
6 vezes (3.0 %): cafe manha nao padaria comum esquina 
6 vezes (3.0 %): cafe manhã decente seriviço bar ídem 
4 vezes (2.0 %): cafe manha nao abastecido nao fornecer 
4 vezes (2.0 %): cafe manhã bastante pequeno funcional 
4 vezes (2.0 %): cafe manhã bastante pequeno moderno piso 
4 vezes (2.0 %): cafe manhã sistema bufê meio diário 
3 vezes (1.5 %): cafe manha incluso diaria quase 300 
3 vezes (1.5 %): cafe manha incluso funcionar bem localizado 
3 vezes (1.5 %): cafe manha nao imteresse atender pedido 
3 vezes (1.5 %): cafe manhã básico entretanto confortável organizado 
3 vezes (1.5 %): cafe manhã básico entretanto confortável possibilidade 
3 vezes (1.5 %): cafe manhã embora ainda compensar pois 
3 vezes (1.5 %): cafe manhã forma conforto cordialidade atencão 
2 vezes (1.0 %): cafe manha incluso diaria quase impossível 
2 vezes (1.0 %): cafe manha incluso diaria quase tudo 
2 vezes (1.0 %): cafe manha incluso funcionar bem cuidado 
2 vezes (1.0 %): cafe manha incluso funcionar bem perto 
2 vezes (1.0 %): cafe manha incluso preço 16,00 pessoa 
2 vezes (1.0 %): cafe manha nao estar incluído cama 
2 vezes (1.0 %): cafe manha nao fornecer conforto cordialidade 
2 vezes (1.0 %): cafe manha nao fornecer conforto localização 
2 vezes (1.0 %): cafe manha nao fornecer conforto quarto 
2 vezes (1.0 %): cafe manhã básico entretanto confortável chuveiro 
2 vezes (1.0 %): cafe manhã básico entretanto confortável outro 
2 vezes (1.0 %): cafe manhã embora oferecer comodidade básico 
2 vezes (1.0 %): cafe manhã estar cheio então acomodação 
2 vezes (1.0 %): cafe manhã estar cheio então último 
1 vezes (0.5 %): cafe manha incluso café de+a manhã 
1 vezes (0.5 %): cafe manha incluso café manha atar 
1 vezes (0.5 %): cafe manha incluso café manha nao 
1 vezes (0.5 %): cafe manha incluso café manhã bom 
1 vezes (0.5 %): cafe manha incluso café manhã sistema 
1 vezes (0.5 %): cafe manha incluso café melhor outro 
1 vezes (0.5 %): cafe manha incluso diaria hotel zona 
1 vezes (0.5 %): cafe manha incluso diaria valor alto 
1 vezes (0.5 %): cafe manha incluso funcionar bem barato 
1 vezes (0.5 %): cafe manha incluso preço achar bom 
1 vezes (0.5 %): cafe manha incluso preço alto temporada 
1 vezes (0.5 %): cafe manha incluso preço atendimento avaliar 
1 vezes (0.5 %): cafe manha incluso preço bom restaurante 
1 vezes (0.5 %): cafe manha incluso preço caro comparacão 
1 vezes (0.5 %): cafe manha incluso preço fazer pesquisa 
1 vezes (0.5 %): cafe manha incluso preço pago parte 
1 vezes (0.5 %): cafe manha nao ha serviço básico 
1 vezes (0.5 %): cafe manha nao imteresse atender bem 
1 vezes (0.5 %): cafe manha nao imteresse atender cliente 
1 vezes (0.5 %): cafe manhã bastante amplo janela cor 
1 vezes (0.5 %): cafe manhã bastante razoável café manhà 
1 vezes (0.5 %): cafe manhã bastante simples bem 2 
1 vezes (0.5 %): cafe manhã bom cerca 3 quadra 
1 vezes (0.5 %): cafe manhã bom inglês bem 2 
1 vezes (0.5 %): cafe manhã bom outro dia 02 
1 vezes (0.5 %): cafe manhã bom outro hotel novo 
1 vezes (0.5 %): cafe manhã bom velocidade split quarto 
1 vezes (0.5 %): cafe manhã bom vizinhança 
1 vezes (0.5 %): cafe manhã básico entretanto confortável preço 
1 vezes (0.5 %): cafe manhã básico entretanto confortável tamanho 
1 vezes (0.5 %): cafe manhã embora ainda caro comparacão 
1 vezes (0.5 %): cafe manhã embora ainda caro ibis 
1 vezes (0.5 %): cafe manhã embora ainda todo dia 
1 vezes (0.5 %): cafe manhã embora ainda todo lugar 
1 vezes (0.5 %): cafe manhã embora ainda todo quarto 
1 vezes (0.5 %): cafe manhã embora ainda todo rede 
1 vezes (0.5 %): cafe manhã embora oferecer ótimo boteco 
1 vezes (0.5 %): cafe manhã estar ansioso estar dentro 
1 vezes (0.5 %): cafe manhã estar ansioso estar perfeito 
1 vezes (0.5 %): cafe manhã estar bem barato gostoso 
1 vezes (0.5 %): cafe manhã estar bem localizado apenas 
1 vezes (0.5 %): cafe manhã estar bem perto quase 
1 vezes (0.5 %): cafe manhã estar carro presenciar discussão 
1 vezes (0.5 %): cafe manhã estar cituado perto estação 
1 vezes (0.5 %): cafe manhã estar localizado apenas tomar 
1 vezes (0.5 %): cafe manhã estar localizado internet wi-fi 
1 vezes (0.5 %): cafe manhã estar localizado quadra distância 
1 vezes (0.5 %): cafe manhã estar localizado quadra estação 
1 vezes (0.5 %): cafe manhã estar lá encontrar certo 
1 vezes (0.5 %): cafe manhã estar lá razão volume 
1 vezes (0.5 %): cafe manhã estar período caro comparacão 
1 vezes (0.5 %): cafe manhã estar período pessoa check 
1 vezes (0.5 %): cafe manhã forma conforto localização 1 
1 vezes (0.5 %): cafe manhã forma conforto localização bom 
1 vezes (0.5 %): cafe manhã forma conforto localização pena 
1 vezes (0.5 %): cafe manhã forma conforto localização ótimo 
1 vezes (0.5 %): cafe manhã forma conforto quarto bastante 
1 vezes (0.5 %): cafe manhã forma conforto quarto produto 
1 vezes (0.5 %): cafe manhã forma conforto quarto tipicamente 
1 vezes (0.5 %): cafe manhã incluso café manhà meio-dia 
1 vezes (0.5 %): cafe manhã incluso café manhã sistema 
1 vezes (0.5 %): cafe manhã incluso café melhor outro 
1 vezes (0.5 %): cafe manhã incluso café quarto sao 
1 vezes (0.5 %): cafe manhã incluso funcionar bem localizado 
1 vezes (0.5 %): cafe manhã incluso preço 16,00 pessoa 
1 vezes (0.5 %): cafe manhã incluso preço achar bom 
1 vezes (0.5 %): cafe manhã pago estar apenas 50 
1 vezes (0.5 %): cafe manhã pago estar bem humorado 
1 vezes (0.5 %): cafe manhã pago estar incluso diaria 
1 vezes (0.5 %): cafe manhã pago estar procurar outro 
1 vezes (0.5 %): cafe manhã pago parte bom localização 
1 vezes (0.5 %): cafe manhã pago parte bom padrão 
1 vezes (0.5 %): cafe manhã preço atendimento conforto quarto 
1 vezes (0.5 %): cafe manhã preço atendimento razão desorganização 
